video_id,task,text,gold_label,prediction
00502,Video-driven Audio Hallucination,Is the pig making sound in the audio?,Yes,"Yes, the pig is making sound in the audio."
00502,Video-driven Audio Hallucination,Is the green blanket making sound in the audio?,No,"No, the green blanket is not making sound in the audio."
00502,Video-driven Audio Hallucination,Is the bed making sound in the audio?,No,"No, the bed is not making sound in the audio."
00502,Audio-driven Video Hallucination,Is the pig visible in the video?,Yes,"Yes, the pig is visible in the video."
00502,Audio-driven Video Hallucination,Is the woman visible in the video?,Yes,"No, the woman is not visible in the video."
00502,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00502,AV Captioning,Describe what you see and hear in a single sentence.,"As a woman speaks affectionately, a pig oinks  on the bed.",A pig is seen in a dark room with a desk and papers.
00321,Video-driven Audio Hallucination,Is the animal making sound in the audio?,Yes,"Yes, the animal is making sound in the audio."
00321,Video-driven Audio Hallucination,Is the grass making sound in the audio?,No,"No, the grass is not making sound in the audio."
00321,Audio-driven Video Hallucination,Is the animal visible in the video?,Yes,"Yes, the animal is visible in the video."
00321,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"Yes, the woman is visible in the video."
00321,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00321,AV Captioning,Describe what you see and hear in a single sentence.,"A man stands next to a horse as the wind blows, a distant goat bleats, and women speak softly in the background.","A man and a woman are standing in a field with a horse and a goat, and they are talking and laughing."
01303,Video-driven Audio Hallucination,Is the guitar making sound in the audio?,No,"Yes, the guitar is making sound in the audio."
01303,Audio-driven Video Hallucination,Is the talking woman visible in the video?,No,"No, the talking woman is not visible in the video."
01303,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00844,Video-driven Audio Hallucination,Is the engine making sound in the audio?,No,"Yes, the engine is making sound in the audio."
00844,Video-driven Audio Hallucination,Is the car making sound in the audio?,No,"Yes, the car is making sound in the audio."
00844,Audio-driven Video Hallucination,Is the typewriter visible in the video?,No,"No, the typewriter is not visible in the video."
00844,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01918,Video-driven Audio Hallucination,Is the child making sound in the audio?,No,"Yes, the child is making sound in the audio."
01918,Video-driven Audio Hallucination,Is the window making sound in the audio?,No,"No, the window is not making sound in the audio."
01918,Audio-driven Video Hallucination,Is the music source visible in the video?,No,"No, the music source is not visible in the video."
01918,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01918,AV Captioning,Describe what you see and hear in a single sentence.,"With the music, three children appeared looking at the window.","A young boy stands by a window, looking out at the rain."
02139,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
02139,Video-driven Audio Hallucination,Is the woman making sound in the audio?,No,"Yes, the woman is making sound in the audio."
02139,Audio-driven Video Hallucination,Is the police car visible in the video?,No,"No, the police car is not visible in the video."
02139,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00233,Video-driven Audio Hallucination,Is the machine making sound in the audio?,No,"Yes, the machine is making sound in the audio."
00233,Video-driven Audio Hallucination,Is the tools making sound in the audio?,No,"Yes, the tools are making sound in the audio."
00233,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
00233,Audio-driven Video Hallucination,Is the traffic visible in the video?,No,"No, the traffic is not visible in the video."
00233,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00233,AV Captioning,Describe what you see and hear in a single sentence.,A man is using a tool to fix the engine of a motorcycle while speaking with distant hums and horns of passing traffic in the background.,A man is working on a car engine with a wrench and a yellow tool.
00258,Video-driven Audio Hallucination,Is the tower making sound in the audio?,No,"Yes, the tower is making sound in the audio."
00258,Video-driven Audio Hallucination,Is the cage making sound in the audio?,No,"Yes, the cage is making sound in the audio."
00258,Audio-driven Video Hallucination,Is the bamboo tube visible in the video?,No,"Yes, the bamboo tube is visible in the video."
00258,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00336,Video-driven Audio Hallucination,Is the birds making sound in the audio?,Yes,"Yes, the birds are making sound in the audio."
00336,Video-driven Audio Hallucination,Is the toy making sound in the audio?,No,"Yes, the toy is making sound in the audio."
00336,Video-driven Audio Hallucination,Is the blanket making sound in the audio?,No,"No, the blanket is not making sound in the audio."
00336,Audio-driven Video Hallucination,Is the birds visible in the video?,Yes,"Yes, the birds are visible in the video."
00336,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"No, the woman is not visible in the video."
00336,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00336,AV Captioning,Describe what you see and hear in a single sentence.,"A cheerful scene with female speech and laughter accompanied by birds chirping and rustling, as various birds interact with toys and food on tables.",A parrot and a bird are standing on a table with food in front of them.
01096,Video-driven Audio Hallucination,Is the carpet making sound in the audio?,No,"No, the carpet is not making sound in the audio."
01096,Video-driven Audio Hallucination,Is the door making sound in the audio?,No,"Yes, the door is making sound in the audio."
01096,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"No, the woman is not visible in the video."
01096,Audio-driven Video Hallucination,Is the man visible in the video?,No,"No, the man is not visible in the video."
01096,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00134,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00404,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01889,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01524,Video-driven Audio Hallucination,Is the machine making sound in the audio?,Yes,"Yes, the machine is making sound in the audio."
01524,Video-driven Audio Hallucination,Is the trees making sound in the audio?,No,"Yes, the trees are making sound in the audio."
01524,Audio-driven Video Hallucination,Is the machine visible in the video?,Yes,"Yes, the machine is visible in the video."
01524,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
01524,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01524,AV Captioning,Describe what you see and hear in a single sentence.,"In a forest, a man sat in the cab of a tool car talking while manipulating the machine to cut down trees and make a buzzing sound.",A man is operating a machine in a forest with a green screen displaying a video.
01578,Video-driven Audio Hallucination,Is the fan making sound in the audio?,Yes,"Yes, the fan is making sound in the audio."
01578,Video-driven Audio Hallucination,Is the blade making sound in the audio?,No,"No, the audio does not contain the sound of a blade."
01578,Video-driven Audio Hallucination,Is the ceiling fan making sound in the audio?,Yes,"Yes, the ceiling fan is making sound in the audio."
01578,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01578,AV Captioning,Describe what you see and hear in a single sentence.,"An electric fan whirled in the white room, making a buzzing sound.",A ceiling fan with a white light is spinning on a white ceiling.
02197,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
02197,Video-driven Audio Hallucination,Is the gun making sound in the audio?,No,"Yes, the gun is making sound in the audio."
02197,Audio-driven Video Hallucination,Is the stream visible in the video?,No,"No, the stream is not visible in the video."
02197,Audio-driven Video Hallucination,Is the talking man visible in the video?,No,"Yes, the talking man is visible in the video."
02197,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00811,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01976,Video-driven Audio Hallucination,Is the toy police cars making sound in the audio?,Yes,"Yes, the toy police cars are making sound in the audio."
01976,Video-driven Audio Hallucination,Is the table making sound in the audio?,No,"No, the table is not making sound in the audio."
01976,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
01976,AV Captioning,Describe what you see and hear in a single sentence.,A number of toy police cars were placed on the table to play with and sound alarm.,A person is playing with a toy police car on a table.
01753,Video-driven Audio Hallucination,Is the origami making sound in the audio?,No,"No, the origami is not making sound in the audio."
01753,Video-driven Audio Hallucination,Is the table making sound in the audio?,No,"No, the table is not making sound in the audio."
01753,Audio-driven Video Hallucination,Is the train visible in the video?,No,"Yes, the train is visible in the video."
01753,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00463,Video-driven Audio Hallucination,Is the crowd making sound in the audio?,No,"Yes, the crowd is making sound in the audio."
00463,Video-driven Audio Hallucination,Is the track making sound in the audio?,No,"Yes, the track is making sound in the audio."
00463,Audio-driven Video Hallucination,Is the little girls visible in the video?,No,"No, the little girls are not visible in the video."
00463,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"No, the woman is not visible in the video."
00463,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00122,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01841,Video-driven Audio Hallucination,Is the bird making sound in the audio?,No,"Yes, the bird is making sound in the audio."
01841,Video-driven Audio Hallucination,Is the roof making sound in the audio?,No,"Yes, the roof is making sound in the audio."
01841,Audio-driven Video Hallucination,Is the cars visible in the video?,No,"No, the cars are not visible in the video."
01841,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01625,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01656,Video-driven Audio Hallucination,Is the chainsaw making sound in the audio?,Yes,"Yes, the chainsaw is making sound in the audio."
01656,Video-driven Audio Hallucination,Is the table making sound in the audio?,No,"No, the table is not making sound in the audio."
01656,Audio-driven Video Hallucination,Is the chainsaw visible in the video?,Yes,"Yes, the chainsaw is visible in the video."
01656,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
01656,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01656,AV Captioning,Describe what you see and hear in a single sentence.,"A pair of hands sandpaper the wood on the table, the picture turns, one hand is held the wood by the moving chainsaw saw into two sections, the picture has the man's voice.",A man is cutting wood on a table with a saw.
02309,Video-driven Audio Hallucination,Is the bicycle making sound in the audio?,No,"Yes, the bicycle is making sound in the audio."
02309,Video-driven Audio Hallucination,Is the trees making sound in the audio?,No,"No, the trees are not making sound in the audio."
02309,Audio-driven Video Hallucination,Is the music source visible in the video?,No,"No, the music source is not visible in the video."
02309,Audio-driven Video Hallucination,Is the singing man visible in the video?,No,"No, the singing man is not visible in the video."
02309,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
00881,Video-driven Audio Hallucination,Is the bees making sound in the audio?,Yes,"Yes, the bees are making sound in the audio."
00881,Video-driven Audio Hallucination,Is the beehive making sound in the audio?,No,"Yes, the beehive is making sound in the audio."
00881,Video-driven Audio Hallucination,Is the beekeeper suit making sound in the audio?,No,"Yes, the audio includes the sound of a beekeeper suit."
00881,Audio-driven Video Hallucination,Is the bees visible in the video?,Yes,"Yes, the bees are visible in the video."
00881,Audio-driven Video Hallucination,Is the birds visible in the video?,No,"Yes, birds are visible in the video."
00881,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
00881,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00881,AV Captioning,Describe what you see and hear in a single sentence.,"In the serene ambiance of chirping birds and buzzing insects, a beekeeper carefully extracts a frame from a beehive to collect honey.",A man in a blue suit is holding a beehive with bees buzzing around it.
01005,Video-driven Audio Hallucination,Is the motor making sound in the audio?,Yes,"Yes, the motor is making sound in the audio."
01005,Video-driven Audio Hallucination,Is the car key making sound in the audio?,No,"Yes, the car key is making sound in the audio."
01005,Audio-driven Video Hallucination,Is the motor visible in the video?,Yes,"Yes, the motor is visible in the video."
01005,Audio-driven Video Hallucination,Is the man visible in the video?,No,"Yes, the man is visible in the video."
01005,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01005,AV Captioning,Describe what you see and hear in a single sentence.,The sound of a motor revving up accompanies a close-up of a motorcycle engine being inspected.,A man is holding a key in his hand and looking at a car engine.
02118,Video-driven Audio Hallucination,Is the beak making sound in the audio?,Yes,"Yes, the beak is making sound in the audio."
02118,Video-driven Audio Hallucination,Is the hand making sound in the audio?,No,"Yes, the hand is making sound in the audio."
02118,Video-driven Audio Hallucination,Is the nest making sound in the audio?,No,"Yes, the nest is making sound in the audio."
02118,Audio-driven Video Hallucination,Is the beak visible in the video?,Yes,"Yes, the beak is visible in the video."
02118,Audio-driven Video Hallucination,Is the woman visible in the video?,Yes,"Yes, the woman is visible in the video."
02118,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02118,AV Captioning,Describe what you see and hear in a single sentence.,"As the woman spoke, a hand reached into the nest of a beak, which purred.",A person is feeding a toucan in a birdhouse.
01114,Video-driven Audio Hallucination,Is the woman making sound in the audio?,Yes,"Yes, the woman is making sound in the audio."
01114,Video-driven Audio Hallucination,Is the men making sound in the audio?,Yes,"Yes, the men are making sound in the audio."
01114,Video-driven Audio Hallucination,Is the computer making sound in the audio?,No,"Yes, the computer is making sound in the audio."
01114,Video-driven Audio Hallucination,Is the door making sound in the audio?,No,"No, the door is not making sound in the audio."
01114,Audio-driven Video Hallucination,Is the woman visible in the video?,Yes,"Yes, the woman is visible in the video."
01114,Audio-driven Video Hallucination,Is the men visible in the video?,Yes,"Yes, the men are visible in the video."
01114,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01114,AV Captioning,Describe what you see and hear in a single sentence.,"A man speaks with others in the background as a young girl gets her hair cut at a salon with her family, while a group of kids sit around a table.","A man and a woman are sitting in a room with a young girl, and they are all smiling and talking."
01070,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01260,Video-driven Audio Hallucination,Is the clock making sound in the audio?,Yes,"Yes, the clock is making sound in the audio."
01260,Video-driven Audio Hallucination,Is the wooden door making sound in the audio?,No,"Yes, the wooden door is making sound in the audio."
01260,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01260,AV Captioning,Describe what you see and hear in a single sentence.,"In the dimly lit room, a wooden clock with a key on it ticks softly as a hand holds a mirror up to a picture of a clock on the wall, capturing the essence of time passing by.",A man is seen turning a wooden clock on a wall.
01592,Video-driven Audio Hallucination,Is the people making sound in the audio?,Yes,"Yes, the people are making sound in the audio."
01592,Video-driven Audio Hallucination,Is the desk making sound in the audio?,No,"No, the desk is not making sound in the audio."
01592,Audio-driven Video Hallucination,Is the people visible in the video?,Yes,"Yes, people are visible in the video."
01592,Audio-driven Video Hallucination,Is the music source visible in the video?,No,"No, the music source is not visible in the video."
01592,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01592,AV Captioning,Describe what you see and hear in a single sentence.,"After a film, four men sit behind a desk and do self-presentations, and the sound and music go to one night, a woman and two men talking.","A group of people are sitting at a table and talking, with a man and a woman standing behind them."
01173,Video-driven Audio Hallucination,Is the airplane making sound in the audio?,Yes,"Yes, the airplane is making sound in the audio."
01173,Video-driven Audio Hallucination,Is the window making sound in the audio?,No,"No, the window is not making sound in the audio."
01173,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
01173,AV Captioning,Describe what you see and hear in a single sentence.,"The aircraft engine hums to life, then gradually slows down with a plastic click, as you gaze out the airplane window at the wing.",A plane is landing on a runway with a wing in the foreground.
01937,Video-driven Audio Hallucination,Is the text making sound in the audio?,No,"No, the text is not making sound in the audio."
01937,Audio-driven Video Hallucination,Is the plane visible in the video?,No,"No, the plane is not visible in the video."
01937,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00188,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01650,Video-driven Audio Hallucination,Is the pig making sound in the audio?,Yes,"No, the pig is not making sound in the audio."
01650,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
01650,Video-driven Audio Hallucination,Is the stairs making sound in the audio?,No,"Yes, the stairs are making sound in the audio."
01650,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01650,AV Captioning,Describe what you see and hear in a single sentence.,"A white pig snorted and stood by the stairs in the room, and a man in white came to him with a white plate.",A man walks up the stairs with a dog following him.
00318,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00412,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01491,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching."
00548,Video-driven Audio Hallucination,Is the toilet making sound in the audio?,Yes,"Yes, the toilet is making sound in the audio."
00548,Video-driven Audio Hallucination,Is the water making sound in the audio?,Yes,"Yes, the water is making sound in the audio."
00548,Video-driven Audio Hallucination,Is the green wall making sound in the audio?,No,"No, the green wall is not making sound in the audio."
00548,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00548,AV Captioning,Describe what you see and hear in a single sentence.,"In a bathroom with a white urinal and a black drain, a man's voice is muffled by the camera as water gurgles in the drain, followed by the sound of a toilet flushing.",A person is using a toilet in a bathroom.
00804,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching. The audio is a sound effect of a school bus, but the visual is a video of a school bus."
01657,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01218,Video-driven Audio Hallucination,Is the helmet making sound in the audio?,No,"No, the helmet is not making sound in the audio."
01218,Video-driven Audio Hallucination,Is the motorcycle making sound in the audio?,No,"Yes, the motorcycle is making sound in the audio."
01218,Audio-driven Video Hallucination,Is the girl visible in the video?,No,"No, the girl is not visible in the video."
01218,Audio-driven Video Hallucination,Is the male judge visible in the video?,No,"No, the male judge is not visible in the video."
01218,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01036,Video-driven Audio Hallucination,Is the engine making sound in the audio?,Yes,"Yes, the engine is making sound in the audio."
01036,Video-driven Audio Hallucination,Is the boat making sound in the audio?,No,"Yes, the boat is making sound in the audio."
01036,Video-driven Audio Hallucination,Is the car making sound in the audio?,No,"Yes, the car is making sound in the audio."
01036,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01036,AV Captioning,Describe what you see and hear in a single sentence.,"The idling engine hums and rattles like a boat with a yellow and blue engine parked on a trailer, reminiscent of a race car.",A yellow and white boat with a powerful engine is parked on a driveway.
00525,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01615,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
01615,Video-driven Audio Hallucination,Is the drummer making sound in the audio?,No,"Yes, the drummer is making sound in the audio."
01615,Audio-driven Video Hallucination,Is the sewing machine visible in the video?,No,"No, the sewing machine is not visible in the video."
01615,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching."
00481,Video-driven Audio Hallucination,Is the pigeons making sound in the audio?,Yes,"Yes, the pigeons are making sound in the audio."
00481,Video-driven Audio Hallucination,Is the table making sound in the audio?,No,"No, the table is not making sound in the audio."
00481,Video-driven Audio Hallucination,Is the cage making sound in the audio?,No,"Yes, the cage is making sound in the audio."
00481,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00481,AV Captioning,Describe what you see and hear in a single sentence.,The cooing of pigeons echoes through a room filled with a bunch of  animals in a cage.,"A group of pigeons are seen in a cage, with some of them pecking at the ground."
00945,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00766,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00727,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00332,Video-driven Audio Hallucination,Is the man making sound in the audio?,Yes,"Yes, the man is making sound in the audio."
00332,Video-driven Audio Hallucination,Is the couch making sound in the audio?,No,"No, the couch is not making sound in the audio."
00332,Video-driven Audio Hallucination,Is the tablet making sound in the audio?,No,"No, the tablet is not making sound in the audio."
00332,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
00332,Audio-driven Video Hallucination,Is the man visible in the video?,No,"Yes, the man is visible in the video."
00332,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00332,AV Captioning,Describe what you see and hear in a single sentence.,"A young man in a hat and t-shirt sits on a couch holding a white tablet, speaking followed by a digital beep.",A man with a cap is holding a video game controller and talking to someone on the phone.
02254,Video-driven Audio Hallucination,Is the fire making sound in the audio?,Yes,"Yes, the fire is making sound in the audio."
02254,Video-driven Audio Hallucination,Is the character making sound in the audio?,No,"Yes, the character is making sound in the audio."
02254,Video-driven Audio Hallucination,Is the staircase making sound in the audio?,No,"Yes, the staircase is making sound in the audio."
02254,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02254,AV Captioning,Describe what you see and hear in a single sentence.,"With the sound of fire in the game, the character walks through the burning staircase to the corridor.",A man in a black suit and helmet is walking down a staircase with a gun in his hand.
01099,Video-driven Audio Hallucination,Is the photo of woman making sound in the audio?,No,"Yes, the photo of a woman making sound is in the audio."
01099,Video-driven Audio Hallucination,Is the photo of man character making sound in the audio?,No,"Yes, the photo of a man is making sound."
01099,Audio-driven Video Hallucination,Is the man visible in the video?,No,"Yes, the man is visible in the video."
01099,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"Yes, the woman is visible in the video."
01099,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01099,AV Captioning,Describe what you see and hear in a single sentence.,"In a  field of grass, a woman speaks followed by a man talking on the phone in a cartoon illustration.",A woman with a phone in her hand is talking on the phone in a park.
01896,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
01896,Video-driven Audio Hallucination,Is the ground making sound in the audio?,No,"No, the ground is not making sound in the audio."
01896,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"Yes, the woman is visible in the video."
01896,Audio-driven Video Hallucination,Is the music source visible in the video?,No,"No, the music source is not visible in the video."
01896,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01896,AV Captioning,Describe what you see and hear in a single sentence.,"A man stands outside, playing to the music and the voice of the woman, and a picture of the man is shown.",A man stands on a rooftop with a solar panel and looks at the camera.
01944,Video-driven Audio Hallucination,Is the door handle making sound in the audio?,Yes,"Yes, the door handle is making sound in the audio."
01944,Audio-driven Video Hallucination,Is the door handle visible in the video?,Yes,"Yes, the door handle is visible in the video."
01944,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
01944,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
01944,AV Captioning,Describe what you see and hear in a single sentence.,"A silver car was parked in the wild, and the man went over and pulled the door handle with his hand, and the door opened automatically.",A man opens the door of a car with his hand.
02199,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00923,Video-driven Audio Hallucination,Is the car engine making sound in the audio?,Yes,"Yes, the car engine is making sound in the audio."
00923,Video-driven Audio Hallucination,Is the steering wheel making sound in the audio?,No,"Yes, the steering wheel is making sound in the audio."
00923,Video-driven Audio Hallucination,Is the gps making sound in the audio?,No,"No, the audio does not contain a gps making sound."
00923,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00923,AV Captioning,Describe what you see and hear in a single sentence.,In a car a man engine hums as a high whistle joins the dashboard with a GPS and a Bluetooth speaker.,A man is driving a car with the radio on and the steering wheel in the foreground.
00616,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00587,Video-driven Audio Hallucination,Is the clock making sound in the audio?,No,"Yes, the clock is making sound in the audio."
00587,Video-driven Audio Hallucination,Is the wall making sound in the audio?,No,"No, the wall is not making sound in the audio."
00587,Audio-driven Video Hallucination,Is the man visible in the video?,No,"No, the man is not visible in the video."
00587,Audio-driven Video Hallucination,Is the drill visible in the video?,No,"Yes, the drill is visible in the video."
00587,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01046,Video-driven Audio Hallucination,Is the woman making sound in the audio?,Yes,"Yes, the woman is making sound in the audio."
01046,Video-driven Audio Hallucination,Is the phone making sound in the audio?,No,"Yes, the phone is making sound in the audio."
01046,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01046,AV Captioning,Describe what you see and hear in a single sentence.,"The audio of a woman crying is followed by a women talking, as a woman covers her face with her hand while looking at a phone, conveying a sense of emotional distress and communication.",A woman is crying and holding a phone while a man is talking to her.
00807,Video-driven Audio Hallucination,Is the engine making sound in the audio?,Yes,"Yes, the engine is making sound in the audio."
00807,Video-driven Audio Hallucination,Is the warehouse making sound in the audio?,No,"No, the warehouse is not making sound in the audio."
00807,Video-driven Audio Hallucination,Is the snow making sound in the audio?,No,"No, the snow is not making sound in the audio."
00807,Audio-driven Video Hallucination,Is the engine visible in the video?,Yes,"Yes, the engine is visible in the video."
00807,Audio-driven Video Hallucination,Is the bells visible in the video?,No,"No, the bells are not visible in the video."
00807,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00807,AV Captioning,Describe what you see and hear in a single sentence.,"An old truck idles next to a barn, its engine humming and rattling, while bells ring in the background.",A man is driving a vintage car down a snowy road.
01672,Video-driven Audio Hallucination,Is the baby making sound in the audio?,Yes,"Yes, the baby is making sound in the audio."
01672,Video-driven Audio Hallucination,Is the sofa making sound in the audio?,No,"No, the sofa is not making sound in the audio."
01672,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01672,AV Captioning,Describe what you see and hear in a single sentence.,"A woman in black sits on a yellow sofa holding a baby in a black blotched white dress, the baby making a sound.","A woman and a baby are sitting on a couch, with the woman holding the baby and talking to it."
00683,Video-driven Audio Hallucination,Is the cart making sound in the audio?,Yes,"Yes, the cart is making sound in the audio."
00683,Video-driven Audio Hallucination,Is the wooden floor making sound in the audio?,No,"No, the wooden floor is not making sound in the audio."
00683,Video-driven Audio Hallucination,Is the cart making sound in the audio?,Yes,"Yes, the cart is making sound in the audio."
00683,Audio-driven Video Hallucination,Is the cart visible in the video?,Yes,"Yes, the cart is visible in the video."
00683,Audio-driven Video Hallucination,Is the beeping device visible in the video?,No,"Yes, the beeping device is visible in the video."
00683,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00683,AV Captioning,Describe what you see and hear in a single sentence.,"The cart with wheels is pushed through the room, creating a symphony of digital beeping, rapid vibrations, and humming on the hard wood floor.",A man is pushing a toy car on a wooden floor.
00785,Video-driven Audio Hallucination,Is the crowd making sound in the audio?,No,"Yes, the crowd is making sound in the audio."
00785,Video-driven Audio Hallucination,Is the cars making sound in the audio?,No,"Yes, the cars are making sound in the audio."
00785,Audio-driven Video Hallucination,Is the engine visible in the video?,No,"Yes, the engine is visible in the video."
